pta,peso_bruto,imp_guia,no_guia,no_factura,Pedimento,Day/Month/Year,Impo(1)Expo(2),Dummy
CI21037280,4.993999999,2.58,1Z8695290146172819,C21035557,0,4/7/2021,1,
CI21036997,17.028,32.32,1Z8695290146209879,C21035630,0,4/7/2021,1,
CI21047504,7.018000004,20.15,1Z8695290146227420,C21045681,0,4/7/2021,1,
CI21036997,15.026,30.32,1Z8695290146229179,C21045681,0,4/7/2021,1,
CI21047476,40.04,114.56,1Z8695290146230550,C21045681,0,4/7/2021,1,
CI21037274,40.04,59.1,1Z8939060158015056,C21035566,0,4/7/2021,1,
CI21037372,2.002,19.42,1Z89E1R60111549991,C21035630,0,4/7/2021,1,
CI21037193,2.002,19.42,1Z89E1R60111567177,C21035513,0,4/7/2021,1,
CI21037191,1.012000003,17.32,1Z89E1R60111568603,C21035513,0,4/7/2021,1,
CI21037258,8.998,27.79,1Z89E1R60111579324,C21035651,0,4/7/2021,1,
CI21037383,4.004000001,19.49,1Z89E1R60111584238,C21035610,0,4/7/2021,1,
CI21037348,3.014000003,17.84,1Z89E1R60111590632,C21045681,0,4/7/2021,1,
CI21037336,2.002,17.32,1Z89E1R60111591113,C21045681,0,4/7/2021,1,
CI21037188,10.01,23.93,1Z8A462E0198306824,C21035513,0,4/7/2021,1,
CI21037282,17.028,55.86,1Z9059410100652011,C21035566,0,4/7/2021,1,
CI21037279,24.024,45.06,1Z9059410100652057,C21035566,0,4/7/2021,1,
CI21037368,4.004000001,17.64,1Z92909E0159292466,C21035630,0,4/7/2021,1,
CI21037247,2.002,112.67,1Z9293811535994678,C21045656,0,4/7/2021,1,
CI21037120,2.002,32.89,1Z9293814435945318,C21035498,0,4/7/2021,1,
CI21037121,2.002,32.89,1Z9293814435945407,C21035498,0,4/7/2021,1,
CI21037122,2.002,32.89,1Z9293814435945434,C21035498,0,4/7/2021,1,
CI21037123,1.012000003,32.89,1Z9293814435945505,C21035498,0,4/7/2021,1,
CI21037124,2.002,32.89,1Z9293814435945541,C21035498,0,4/7/2021,1,
CI21037127,2.002,32.89,1Z9293814435945612,C21035498,0,4/7/2021,1,
CI21037118,2.002,32.89,1Z9293814435945701,C21035498,0,4/7/2021,1,
CI21037313,15.026,39.97,1Z9528021376858981,C21035566,0,4/7/2021,1,
CI21037311,60.05999999,39.98,1Z9528021377778771,C21035566,0,4/7/2021,1,
CI21037322,4.993999999,19.22,1Z9533300195698677,C21035610,0,4/7/2021,1,
CI21037213,1.012000003,15.86,1Z959E730148158088,C21035516,0,4/7/2021,1,
CI21037455,8.998,29.04,1Z99Y01Y0165421445,C21045656,0,4/7/2021,1,
CI21047469,17.028,35.56,1Z9X26760112570299,C21045681,0,4/7/2021,1,
CI21037236,6.006000001,13.1,1ZA553Y80160810472,C21035516,0,4/7/2021,1,
CI21047496,8.008000002,26.56,1ZA670T90197812898,C21045681,0,4/7/2021,1,
CI21037373,4.993999999,26.83,1ZA8734W0112589082,C21045656,0,4/7/2021,1,
CI21037157,4.004000001,17.83,1ZAE42310173860179,C21035513,0,4/7/2021,1,
CI21037427,4.993999999,19.22,1ZAE42310175639816,C21045656,0,4/7/2021,1,
CI21037221,3.014000003,16.07,1ZAE42310175702765,C21035516,0,4/7/2021,1,
CI21036988,20.02,80.7,1ZAY07100101086498,C21035513,0,4/7/2021,1,
CI21036974,60.06,80.7,1ZAY07100101086505,C21035513,0,4/7/2021,1,
CI21036973,57.068,121.04,1ZAY07100101090312,C21035513,0,4/7/2021,1,
CI21047498,6.006000001,23.11,1ZAY07100101098449,C21045681,0,4/7/2021,1,
CI21037220,3.014000003,14.76,1ZE559W80194630297,C21035524,0,4/7/2021,1,
CI21037429,52.052,96.93,1ZT232T60162901656,C21045656,0,4/7/2021,1,
CI21036397,12.012,38.83,1ZX252141300448097,C21045681,0,4/7/2021,1,
CI21037203,4.993999999,31.57,1ZX252141300449130,C21035516,0,4/7/2021,1,
CI21037310,2.002,35.42,1ZX295604482702754,C21035555,0,4/7/2021,1,
CI21037183,40.04,73.66,1ZX654370100844994,C21035513,0,4/7/2021,1,
CI21037198,75.086,130.38,1ZY131070170435027,C21035516,0,4/7/2021,1,
CI21036902,60.06,159.51,1ZY131070170674528,C21035513,0,4/7/2021,1,
CI21037161,40.04,86.92,1ZY131070171442928,C21035513,0,4/7/2021,1,
CI21037245,4032.028,9644.43,5677315325,C21045680,0,4/7/2021,1,
CI21037244,3826.812,8922.79,5677338766,C21035641,0,4/7/2021,1,
CI21037002,3633.63,5362.36,5930443299,C21035562,0,4/7/2021,1,
CI21036999,3223.22,4764.45,5930444278,C21035562,0,4/7/2021,1,
CI21037290,1191.19,1802.38,6101600637,C21035562,0,4/7/2021,1,
